"Export for HP:0000118"
"Gene","Associated diseases"
"CLPP (8192)","PERRAULT SYNDROME 3 (OMIM:614129)"
"MKKS (8195)","McKusick-Kaufman syndrome (ORPHA:2473), BARDET-BIEDL SYNDROME 1 (OMIM:209900), Bardet-Biedl syndrome (ORPHA:110), BARDET-BIEDL SYNDROME 6 (OMIM:605231), MCKUSICK-KAUFMAN SYNDROME (OMIM:236700)"
"GDF5 (8200)","ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON... (OMIM:201250), Brachydactyly type A1 (ORPHA:93388), Brachydactyly type C (ORPHA:93384), BRACHYDACTYLY, TYPE C (OMIM:113100), BRACHYDACTYLY, TYPE A1, C (OMIM:615072), Brachydactyly type A2 (ORPHA:93396), FIBULAR HYPOPLASIA AND COMPLEX BRACHYDAC... (OMIM:228900), Fibular aplasia-complex brachydactyly sy... (ORPHA:2639), BRACHYDACTYLY, TYPE A2 (OMIM:112600), Acromesomelic dysplasia, Grebe type (ORPHA:2098), Acromesomelic dysplasia, Hunter-Thompson... (ORPHA:968), MULTIPLE SYNOSTOSES SYNDROME 2 (OMIM:610017), Proximal symphalangism (ORPHA:3250), SYMPHALANGISM, PROXIMAL, 1B (OMIM:615298), CHONDRODYSPLASIA, GREBE TYPE (OMIM:200700), Angel-shaped phalango-epiphyseal dysplas... (ORPHA:63442), Multiple synostoses syndrome (ORPHA:3237)"
"TSR2 (90121)","Blackfan-Diamond anemia (ORPHA:124), DIAMOND-BLACKFAN ANEMIA 14 WITH MANDIBUL... (OMIM:300946)"
"AARS (16)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:613287), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616339)"
"ABAT (18)","GABA-TRANSAMINASE DEFICIENCY (OMIM:613163)"
"ABCA1 (19)","Apolipoprotein A-I deficiency (ORPHA:425), TANGIER DISEASE (OMIM:205400), HYPOALPHALIPOPROTEINEMIA, PRIMARY (OMIM:604091), Tangier disease (ORPHA:31150)"
"ABCA3 (21)","SURFACTANT METABOLISM DYSFUNCTION, PULMO... (OMIM:610921), Idiopathic pulmonary fibrosis (ORPHA:2032)"
"ABCB7 (22)","ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELL... (OMIM:301310), X-linked sideroblastic anemia and ataxia (ORPHA:2802)"
"DGCR6 (8214)","VELOCARDIOFACIAL SYNDROME (OMIM:192430)"
